"sym","name"
"SPY","SPDR S&P 500"
"IVV","iShares Core S&P 500"
"VTI","Vanguard Total Stock Market"
"QQQ","PowerShares QQQ"
"IWM","iShares Russell 2000"
"IWF","iShares Russell 1000 Growth"
"VNQ","Vanguard REIT"
"IWD","iShares Russell 1000 Value"
"IJH","iShares Core S&P Mid-Cap"
"AGG","iShares Core U.S. Aggregate Bond"
"VIG","Vanguard Dividend Appreciation"
"LQD","iShares iBoxx $ Investment Grade Corporate Bond"
"XLF","Financial Select SPDR"
"VUG","Vanguard Growth"
"VTV","Vanguard Value"
"MDY","SPDR S&P MidCap 400"
"DVY","iShares Select Dividend"
"IJR","iShares Core S&P Small-Cap"
"SDY","SPDR S&P Dividend"
"XLK","Technology Select SPDR"
"DXJ","WisdomTree Japan Hedged Equity"
"DIA","SPDR Dow Jones Industrial Average Trust"
"XLV","Health Care Select SPDR"
"IVW","iShares S&P 500 Growth"
"PFF","iShares U.S. Preferred Stock"
"IWR","iShares Russell Mid-Cap"
"CSJ","iShares 1-3 Year Credit Bond"
"IWB","iShares Russell 1000"
"VYM","Vanguard High Dividend Yield"
"XLI","Industrial Select SPDR"
"VB","Vanguard Small-Cap"
"XLP","Consumer Staples Select SPDR"
"RSP","Guggenheim S&P 500 Equal Weight"
"VO","Vanguard Mid-Cap"
"IVE","iShares S&P 500 Value"
"SHY","iShares 1-3 Year Treasury Bond"
"XLY","Consumer Discretionary Select SPDR"
"IWS","iShares Russell Mid-Cap Value"
"MBB","iShares MBS"
"VGT","Vanguard Information Technology"
"IWO","iShares Russell 2000 Growth"
"XLU","Utilities Select SPDR"
"CIU","iShares Intermediate Credit Bond"
"IBB","iShares Nasdaq Biotechnology"
"IEF","iShares 7-10 Year Treasury Bond"
"IWN","iShares Russell 2000 Value"
"IWV","iShares Russell 3000"
"IWP","iShares Russell Mid-Cap Growth"
"VV","Vanguard Large-Cap"
"SHV","iShares Short Treasury Bond"
"TLT","iShares 20+ Year Treasury Bond"
"IYR","iShares U.S. Real Estate"
"IYW","iShares U.S. Technology"
"OEF","iShares S&P 100"
"IJK","iShares S&P Mid-Cap 400 Growth"
"VBR","Vanguard Small-Cap Value"
"PRF","PowerShares FTSE RAFI US 1000"
"IJJ","iShares S&P Mid-Cap 400 Value"
"VHT","Vanguard Health Care"
"VBK","Vanguard Small-Cap Growth"
"IEI","iShares 3-7 Year Treasury Bond"
"VXF","Vanguard Extended Market"
"VOE","Vanguard Mid-Cap Value"
"XLB","Materials Select SPDR"
"IJS","iShares S&P Small-Cap 600 Value"
"ICF","iShares Cohen & Steers REIT"
"RWR","SPDR Dow Jones REIT"
"IJT","iShares S&P Small-Cap 600 Growth"
"KBE","SPDR S&P Bank"
"PKW","PowerShares Buyback Achievers"
"VOT","Vanguard Mid-Cap Growth"
"DLN","WisdomTree LargeCap Dividend"
"VDC","Vanguard Consumer Staples"
"VFH","Vanguard Financials"
"KRE","SPDR S&P Regional Banking"
"VIS","Vanguard Industrials"
"FBT","First Trust NYSE Arca Biotechnology"
"RPG","Guggenheim S&P 500 Pure Growth"
"VPU","Vanguard Utilities"
"IYT","iShares Transportation Average"
"IYH","iShares U.S. Healthcare"
"IOO","iShares Global 100"
"ITOT","iShares Core S&P Total U.S. Stock Market"
"ITB","iShares U.S. Home Construction"
"XHB","SPDR S&P Homebuilders"
"PDP","PowerShares DWA Momentum"
"GVI","iShares Intermediate Government/Credit Bond"
"PJP","PowerShares Dynamic Pharmaceuticals"
"PGF","PowerShares Financial Preferred"
"IXJ","iShares Global Healthcare"
"XBI","SPDR S&P Biotech"
"RPV","Guggenheim S&P 500 Pure Value"
"VCR","Vanguard Consumer Discretionary"
"IYF","iShares U.S. Financials"
"DTN","WisdomTree Dividend Ex-Financials"
"DON","WisdomTree MidCap Dividend"
"IGV","iShares North American Tech-Software"
"XRT","SPDR S&P Retail"
"DES","WisdomTree SmallCap Dividend"
"XPH","SPDR S&P Pharmaceuticals"
"PRFZ","PowerShares FTSE RAFI US 1500 Small-Mid"
"FVD","First Trust Value Line Dividend"
"DHS","WisdomTree Equity Income"
"IYY","iShares Dow Jones U.S."
"PHO","PowerShares Water Resources"
"PWV","PowerShares Dynamic Large Cap Value"
"FDL","First Trust Morningstar Dividend Leaders"
"IYJ","iShares U.S. Industrials"
"UUP","PowerShares DB US Dollar Index Bullish"
"IWC","iShares Micro-Cap"
"IHE","iShares U.S. Pharmaceuticals"
"VOX","Vanguard Telecommunication Services"
"IUSV","iShares Core U.S. Value"
"IXN","iShares Global Tech"
"IDU","iShares U.S. Utilities"
"IGM","iShares North American Tech"
"IHI","iShares U.S. Medical Devices"
"CRED","iShares Core U.S. Credit Bond"
"RYT","Guggenheim S&P Equal Weight Technology"
"JKE","iShares Morningstar Large-Cap Growth"
"BBH","Market Vectors Biotech"
"XLG","Guggenheim Russell Top 50 Mega Cap"
"IYG","iShares U.S. Financial Services"
"IAT","iShares U.S. Regional Banks"
"KXI","iShares Global Consumer Staples"
"EZM","WisdomTree MidCap Earnings"
"JKD","iShares Morningstar Large-Cap"
"IYK","iShares U.S. Consumer Goods"
"IYZ","iShares U.S. Telecommunications"
"IHF","iShares U.S. Healthcare Providers"
"DTD","WisdomTree Total Dividend"
"IUSG","iShares Core U.S. Growth"
"SOXX","iShares PHLX Semiconductor"
"FPX","First Trust US IPO"
"PEY","PowerShares High Yield Equity Dividend Achievers"
"SPYG","SPDR S&P 500 Growth"
"IYC","iShares U.S. Consumer Services"
"QQEW","First Trust NASDAQ-100 Equal Weighted"
"IXP","iShares Global Telecom"
"ONEQ","Fidelity NASDAQ Composite Tracking Stock"
"SPHQ","PowerShares S&P 500 High Quality"
"PBE","PowerShares Dynamic Biotech & Genome"
"RYH","Guggenheim S&P Equal Weight Health Care"
"JKL","iShares Morningstar Small-Cap Value"
"SLYG","SPDR S&P SmallCap 600 Growth"
"EES","WisdomTree SmallCap Earnings"
"SMH","Market Vectors Semiconductor"
"DSI","iShares MSCI KLD 400 Social"
"ITA","iShares U.S. Aerospace & Defense"
"INP","iPath MSCI India ETN"
"JKG","iShares Morningstar Mid-Cap"
"PFM","PowerShares Dividend Achievers"
"PPH","Market Vectors Pharmaceutical"
"TLH","iShares 10-20 Year Treasury Bond"
"KIE","SPDR S&P Insurance"
"SLY","SPDR S&P SmallCap 600"
"SLYV","SPDR S&P SmallCap 600 Value"
"KLD","iShares MSCI USA ESG Select"
"QTEC","First Trust NASDAQ-100-Technology"
"IXG","iShares Global Financials"
"JKF","iShares Morningstar Large-Cap Value"
"PBJ","PowerShares Dynamic Food & Beverage"
"EXI","iShares Global Industrials"
"IAI","iShares U.S. Broker-Dealers"
"IGN","iShares North American Tech-Multimedia Networking"
"SPYV","SPDR S&P 500 Value"
"JXI","iShares Global Utilities"
"MTK","SPDR Morgan Stanley Technology"
"JKI","iShares Morningstar Mid-Cap Value"
"THRK","SPDR Russell 3000"
"JKJ","iShares Morningstar Small-Cap"
"JKH","iShares Morningstar Mid-Cap Growth"
"RHS","Guggenheim S&P Equal Weight Consumer Staples"
"PPA","PowerShares Aerospace & Defense"
"PWC","PowerShares Dynamic Market"
"MDYG","SPDR S&P MidCap 400 Growth"
"RXI","iShares Global Consumer Discretionary"
"RZV","Guggenheim S&P SmallCap 600 Pure Value"
"PBS","PowerShares Dynamic Media"
"NFO","Guggenheim Insider Sentiment"
"RYU","Guggenheim S&P Equal Weight Utilities"
"XSD","SPDR S&P Semiconductor"
"RYF","Guggenheim S&P Equal Weight Financial"
"EWN","iShares MSCI Netherlands"
"PEJ","PowerShares Dynamic Leisure and Entertainment"
"CZA","Guggenheim Mid-Cap Core"
"EPS","WisdomTree Earnings 500"
"GBF","iShares Government/Credit Bond"
"PTH","PowerShares DWA Healthcare Momentum"
"IAK","iShares U.S. Insurance"
"JKK","iShares Morningstar Small-Cap Growth"
"RGI","Guggenheim S&P Equal Weight Industrials"
"PRN","PowerShares DWA Industrials Momentum"
"RTH","Market Vectors Retail"
"RZG","Guggenheim S&P SmallCap 600 Pure Growth"
"EXT","WisdomTree Total Earnings"
"MDYV","SPDR S&P MidCap 400 Value"
"PXMG","PowerShares Fundamental Pure Mid Growth"
"RCD","Guggenheim S&P Equal Weight Consumer Discretionary"
"FTCS","First Trust Capital Strength"
"RSCO","SPDR Russell Small Cap Completeness"
"PTF","PowerShares DWA Technology Momentum"
"PXSV","PowerShares Fundamental Pure Small Value"
"PEZ","PowerShares DWA Consumer Cyclicals Momentum"
"ONEK","SPDR Russell 1000"
"PXMV","PowerShares Fundamental Pure Mid Value"
"PSJ","PowerShares Dynamic Software"
"FDM","First Trust Dow Jones Select Micro Cap"
"PFI","PowerShares DWA Financial Momentum"
"PSL","PowerShares DWA Consumer Staples Momentum"
"PXLC","PowerShares Fundamental Pure Large Core"
"PUI","PowerShares DWA Utilities Momentum"
"PSI","PowerShares Dynamic Semiconductors"
"EZY","WisdomTree LargeCap Value"
"DWAQ","PowerShares DWA NASDAQ Momentum"
"PXQ","PowerShares Dynamic Networking"
"PXMC","PowerShares Fundamental Pure Mid Core"
